time_ms,light_sensor
14157585,634
14158109,634
14158633,634
14159156,634
14159679,634
14160206,634
14160729,633
14161253,634
14161777,634
14162300,633
14162824,633
14163347,634
14163870,634
14164394,634
14164918,634
14165441,634
14165968,634
14166492,636
14167015,634
14167539,634
14168062,634
14168586,634
14169109,633
14169633,633
14170156,634
14170680,634
14171203,633
14171730,634
14172254,633
14172777,635
14173301,634
14173825,633
14174348,634
14174871,634
14175395,633
14175918,634
14176442,634
14176966,634
14177493,634
14178016,634
14178540,634
14179063,634
14179587,634
14180110,634
14180634,634
14181157,634
14181681,634
14182204,634
14182728,633
14183255,634
14183778,633
14184302,635
14184825,634
14185349,634
14185873,633
14186396,633
14186920,634
14187443,633
14187966,633
14188490,634
14189017,634
14189541,634
14190064,635
14190588,634
14191111,636
14191635,634
14192158,637
14192682,633
14193205,635
14193729,634
14194252,633
14194776,635
14195303,634
14195826,634
14196350,634
14196873,634
14197397,632
14197920,637
14198443,634
14198967,634
14199490,633
14200013,633
14200537,635
14201058,634
14201582,635
14202105,636
14202629,635
14203152,634
14203676,634
14204199,634
14204723,634
14205246,638
14205770,634
14206293,634
14206820,637
14207344,634
14207867,634
14208391,635
14208914,634
14209438,635
14209962,635
14210485,635
14211009,635
14211532,634
14212056,635
14212583,635
14213107,635
14213631,635
14214154,635
14214678,634
14215201,635
14215725,634
14216249,637
14216772,635
14217296,634
14217819,635
14218346,634
14218870,634
14219394,635
14219917,639
14220441,634
14220964,634
14221488,635
14222012,635
14222535,634
14223059,634
14223582,635
14224110,635
14224633,635
14225157,635
14225681,635
14226204,635
14226728,634
14227251,635
14227775,635
14228299,635
14228822,635
14229346,635
14229873,638
14230396,636
14230920,634
14231444,635
14231967,635
14232491,636
14233014,635
14233538,635
14234062,635
14234585,635
14235109,636
14235632,636
14236160,635
14236683,635
14237207,634
14237731,634
14238254,636
14238778,635
14239301,635
14239825,636
14240349,637
14240872,635
14241396,639
14241923,636
14242446,635
14242970,636
14243493,635
14244017,636
14244540,635
14245064,635
14245587,634
14246111,636
14246634,634
14247158,635
14247685,634
14248208,635
14248731,636
14249254,635
14249777,636
14250300,635
14250823,636
14251346,635
14251869,635
14252393,636
14252916,634
14253442,635
14253965,636
14254489,639
14255012,636
14255535,634
14256058,635
14256581,635
14257105,635
14257628,634
14258151,635
14258674,635
14259201,635
14259724,635
14260247,636
14260770,636
14261294,636
14261817,635
14262340,635
14262863,635
14263386,635
14263910,635
14264433,638
14264960,636
14265483,635
14266006,635
14266529,636
14267052,636
14267576,635
14268099,634
14268622,637
14269145,635
14269668,636
14270192,635
14270718,635
14271241,636
14271764,636
14272288,635
14272811,636
14273334,635
14273857,636
14274380,635
14274904,636
14275427,636
14275950,636
14276481,636
14277004,636
14277527,636
14278050,635
14278573,635
14279097,636
14279620,635
14280143,634
14280666,636
14281189,635
14281712,636
14282236,636
14282762,636
14283285,637
14283808,636
14284332,636
14284855,636
14285378,636
14285901,636
14286424,637
14286947,636
14287471,636
14287994,637
14288520,637
14289043,636
14289566,637
14290089,637
14290612,637
14291136,636
14291659,636
14292182,636
14292705,637
14293228,636
14293751,637
14294278,636
14294801,637
14295324,637
14295847,636
14296370,637
14296893,637
14297416,638
14297940,637
14298463,637
14298986,638
14299509,637
14300036,638
14300559,637
14301082,637
14301605,633
14302129,637
14302652,637
14303175,637
14303699,637
14304222,637
14304745,637
14305268,637
14305795,638
14306319,637
14306842,638
14307365,637
14307888,637
14308411,638
14308935,638
14309458,638
14309982,637
14310505,638
14311028,637
14311555,637
14312078,637
14312601,637
14313125,638
14313648,637
14314171,637
14314694,637
14315218,637
14315741,637
14316264,638
14316788,636
14317314,637
14317838,637
14318361,637
14318884,637
14319408,637
14319931,637
14320454,640
14320977,637
14321501,637
14322024,637
14322547,637
14323074,636
14323597,638
14324121,638
14324644,636
14325167,636
14325690,637
14326214,637
14326737,637
14327260,637
14327784,637
14328307,637
14328830,637
14329357,636
14329880,638
14330404,637
14330927,637
14331450,636
14331973,637
14332497,637
14333020,637
14333543,637
14334067,637
14334590,637
14335111,637
14335634,637
14336157,637
14336681,637
14337204,637
14337727,638
14338250,637
14338773,636
14339296,636
14339820,637
14340343,637
14340869,637
14341392,637
14341916,637
14342439,637
14342963,636
14343486,637
14344009,637
14344532,638
14345056,636
14345579,637
14346103,638
14346629,637
14347153,637
14347676,637
14348199,637
14348723,638
14349246,637
14349770,638
14350293,637
14350817,637
14351340,638
14351864,639
14352390,637
14352914,637
14353437,637
14353961,638
14354484,638
14355008,638
14355531,636
14356054,637
14356578,637
14357101,637
14357625,637
14358152,637
14358675,637
14359198,637
14359722,637
14360245,636
14360769,637
14361292,637
14361816,638
14362339,637
14362862,638
14363386,638
14363913,638
14364436,637
14364960,638
14365483,638
14366006,638
14366530,637
14367054,638
14367577,638
14368100,642
14368624,637
14369147,635
14369671,638
14370198,639
14370721,638
14371244,638
14371768,637
14372291,638
14372815,636
14373338,637
14373862,636
14374385,637
14374908,637
14375432,637
14375959,637
14376482,637
14377006,638
14377529,639
14378053,638
14378576,637
14379100,640
14379623,638
14380146,638
14380670,638
14381193,638
14381720,637
14382244,638
14382767,637
14383290,638
14383814,638
14384337,638
14384860,635
14385384,638
14385907,638
14386430,637
14386954,638
14387490,637
14388014,637
14388536,637
14389059,638
14389582,637
14390105,637
14390629,643
14391152,638
14391675,641
14392198,637
14392721,638
14393248,637
14393771,637
14394294,638
14394817,637
14395340,637
14395863,638
14396387,637
14396910,637
14397433,638
14397956,637
14398479,636
14399006,636
14399529,638
14400053,638
14400576,637
14401099,636
14401622,636
14402145,637
14402669,638
14403192,637
14403715,636
14404238,637
14404764,637
14405288,637
14405811,636
14406334,637
14406857,638
14407380,637
14407904,637
14408427,638
14408950,637
14409473,641
14409997,637
14410523,638
14411046,637
14411570,638
14412093,637
14412616,638
14413139,637
14413662,638
14414185,638
14414709,638
14415232,638
14415755,638
14416278,637
14416805,637
14417328,637
14417851,638
14418375,638
14418898,637
14419421,639
14419944,637
14420468,637
14420991,638
14421514,637
14422037,637
14422563,637
14423087,637
14423610,638
14424133,638
14424656,637
14425180,638
14425703,639
14426226,637
14426749,638
14427272,638
14427796,637
14428322,638
14428845,638
14429369,638
14429892,641
14430415,638
14430938,638
14431461,639
14431984,638
14432507,638
14433030,637
14433553,638
14434079,638
14434602,638
14435125,638
14435649,638
14436172,636
14436695,637
14437218,638
14437742,639
14438265,637
14438788,638
14439311,638
14439838,638
14440361,637
14440884,638
14441408,638
14441931,639
14442454,638
14442978,638
14443501,637
14444024,642
14444548,639
14445071,638
14445598,638
14446121,638
14446644,643
14447167,637
14447691,638
14448214,638
14448738,638
14449261,638
14449784,639
14450307,638
14450831,638
14451358,638
14451881,637
14452404,638
14452927,639
14453451,642
14453974,638
14454497,638
14455021,638
14455544,639
14456067,638
14456591,640
14457117,637
14457641,639
14458164,638
14458687,641
14459210,637
14459734,638
14460257,639
14460781,638
14461304,638
14461827,638
14462350,637
14462874,637
14463401,638
14463924,639
14464447,638
14464970,638
14465494,638
14466017,638
14466540,638
14467064,637
14467587,637
14468110,638
14468638,635
14469159,637
14469682,637
14470205,638
14470729,637
14471252,638
14471775,638
14472298,638
14472822,637
14473345,638
14473868,637
14474391,637
14474918,638
14475441,636
14475965,637
14476488,638
14477011,638
14477534,638
14478057,638
14478581,637
14479104,637
14479627,638
14480150,638
14480677,638
14481200,637
14481723,637
14482246,637
14482770,637
14483293,639
14483816,638
14484340,639
14484863,641
14485386,638
14485909,639
14486436,638
14486960,637
14487483,639
14488006,640
14488530,639
14489053,638
14489577,638
14490100,638
14490624,638
14491147,639
14491670,638
14492197,642
14492721,639
14493244,639
14493768,639
14494291,638
14494814,639
14495338,640
14495861,642
14496385,638
14496908,639
14497431,639
14497958,638
14498482,639
14499005,638
14499529,638
14500052,638
14500575,638
14501099,638
14501622,639
14502146,639
14502669,638
14503193,639
14503716,638
14504243,639
14504767,638
14505290,638
14505813,639
14506337,638
14506860,638
14507383,639
14507907,637
14508430,638
14508954,638
14509477,639
14510004,638
14510527,638
14511051,639
14511574,639
14512098,638
14512621,638
14513144,639
14513668,639
14514192,638
14514715,639
14515238,639
14515765,639
14516289,638
14516812,639
14517336,639
14517859,640
14518382,639
14518906,639
14519429,638
14519953,639
14520476,639
14520999,638
14521526,639
14522050,639
14522573,639
14523096,639
14523620,640
14524143,642
14524666,639
14525189,640
14525713,640
14526236,638
14526760,639
14527286,639
14527809,640
14528333,639
14528856,640
14529380,640
14529903,639
14530426,639
14530950,639
14531473,639
14531997,639
14532520,640
14533047,639
14533570,638
14534094,640
14534617,639
14535141,640
14535665,640
14536188,639
14536711,639
14537235,640
14537758,640
14538282,640
14538809,639
14539333,640
14539856,639
14540379,640
14540903,639
14541427,640
14541950,640
14542474,639
14542997,639
14543520,639
14544044,639
14544571,641
14545095,640
14545618,640
14546142,640
14546665,640
14547189,638
14547712,645
14548236,640
14548759,640
14549283,640
14549806,639
14550330,640
14550857,637
14551380,639
14551904,641
14552427,640
14552951,639
14553475,640
14553998,640
14554521,640
14555045,640
14555568,640
14556092,640
14556619,639
14557143,640
14557666,640
14558189,640
14558713,640
14559237,641
14559760,640
14560284,639
14560807,641
14561330,640
14561854,640
14562381,640
14562905,640
14563428,640
14563952,640
14564475,640
14564999,640
14565522,639
14566046,640
14566569,639
14567093,640
14567616,641
14568144,640
14568667,642
14569190,640
14569714,640
14570237,640
14570760,638
14571284,641
14571807,640
14572331,641
14572854,640
14573377,639
14573905,640
14574428,640
14574951,640
14575475,640
14575998,640
14576522,640
14577046,641
14577569,640
14578092,640
14578616,640
14579139,640
14579666,640
14580190,640
14580714,640
14581237,640
14581761,640
14582284,641
14582808,640
14583332,640
14583855,640
14584379,640
14584902,640
14585430,640
14585953,636
14586477,640
14587000,640
14587524,639
14588048,641
14588571,640
14589095,640
14589618,640
14590142,640
14590666,641
14591193,640
14591716,641
14592240,641
14592764,640
14593287,640
14593811,641
14594334,640
14594858,640
14595382,641
14595905,641
14596429,640
14596952,641
14597479,640
14598003,641
14598527,639
14599050,640
14599574,641
14600097,640
14600621,641
14601145,641
14601668,640
14602192,639
14602716,640
14603237,640
14603761,641
14604284,639
14604808,641
14605332,640
14605855,640
14606379,639
14606902,640
14607426,640
14607950,640
14608473,640
14609000,643
14609524,641
14610047,641
14610571,641
14611095,640
14611618,641
14612142,640
14612665,639
14613189,645
14613713,640
14614236,641
14614764,640
14615287,641
14615810,640
14616334,640
14616858,640
14617381,640
14617905,640
14618428,641
14618951,640
14619475,641
14619999,640
14620526,640
14621049,640
14621572,639
14622095,640
14622618,640
14623141,640
14623664,640
14624187,639
14624710,640
14625233,640
14625757,639
14626283,639
14626806,640
14627329,640
14627853,640
14628376,640
14628899,640
14629422,640
14629945,640
14630469,640
14630992,640
14631515,641
14632042,640
14632565,639
14633088,641
14633611,642
14634134,640
14634658,640
14635181,640
14635704,640
14636227,640
14636750,639
14637273,641
14637797,640
14638324,640
14638847,638
14639370,639
14639893,639
14640416,640
14640940,640
14641463,640
14641986,641
14642509,639
14643032,639
14643555,640
14644082,640
14644605,640
14645128,639
14645652,639
14646175,639
14646698,640
14647221,639
14647744,639
14648268,638
14648791,639
14649314,640
14649841,639
14650364,640
14650887,645
14651410,640
14651933,639
14652456,639
14652980,639
14653503,640
14654026,639
14654549,643
14655072,639
14655599,639
14656122,640
14656646,640
14657169,639
14657692,639
14658215,640
14658739,638
14659262,639
14659785,640
14660308,639
14660831,639
14661358,639
14661885,644
14662408,639
14662931,640
14663454,639
14663977,639
14664500,639
14665023,639
14665546,639
14666069,638
14666592,637
14667119,638
14667642,639
14668165,640
14668688,639
14669211,638
14669735,638
14670258,638
14670781,639
14671304,638
14671827,638
14672350,639
14672877,638
14673400,639
14673924,638
14674447,638
14674970,638
14675493,638
14676017,638
14676540,638
14677063,638
14677587,638
14678110,638
14678637,638
14679160,639
14679683,638
14680207,638
14680730,638
14681253,638
14681776,638
14682299,639
14682823,639
14683346,638
14683869,638
14684393,639
14684919,639
14685443,638
14685966,639
14686489,638
14687013,639
14687536,637
14688059,639
14688582,638
14689106,639
14689629,642
14690152,638
14690679,637
14691202,638
14691726,638
14692249,639
14692772,638
14693296,638
14693819,639
14694342,638
14694866,637
14695389,637
14695912,637
14696439,638
14696962,638
14697485,638
14698009,639
14698532,638
14699055,638
14699578,639
14700102,638
14700625,638
14701148,637
14701672,638
14702198,638
14702722,638
14703245,638
14703768,639
14704292,638
14704815,638
14705338,638
14705861,637
14706385,639
14706908,638
14707431,638
14707958,638
14708481,639
14709004,642
14709527,638
14710051,638
14710574,638
14711097,641
14711620,638
14712143,638
14712667,638
14713190,639
14713716,638
14714240,638
14714763,638
14715286,638
14715810,638
14716333,638
14716856,638
14717379,639
14717903,638
14718426,638
14718950,638
14719476,638
14720000,638
14720523,637
14721046,637
14721570,639
14722093,637
14722617,637
14723140,637
14723663,638
14724187,638
14724710,637
14725237,639
14725761,638
14726284,637
14726807,637
14727331,637
14727855,637
14728378,637
14728901,638
14729425,638
14729948,638
14730471,637
14730995,638
14731522,638
14732045,638
14732569,638
