time,time_ms,load_g
2021-03-20 12:02:46,166893,-8.84
2021-03-20 12:02:47,167693,-8.79
2021-03-20 12:02:48,168492,-8.54
2021-03-20 12:02:49,169292,-8.45
2021-03-20 12:02:49,170092,-8.52
2021-03-20 12:02:50,170892,-8.41
2021-03-20 12:02:51,171692,-8.54
2021-03-20 12:02:52,172491,-8.61
2021-03-20 12:02:53,173291,-8.64
2021-03-20 12:02:53,174091,-8.61
2021-03-20 12:02:54,174891,-8.74
2021-03-20 12:02:55,175690,-8.69
2021-03-20 12:02:56,176490,-8.77
2021-03-20 12:02:57,177290,-8.65
2021-03-20 12:02:57,178090,-8.68
2021-03-20 12:02:58,178890,-8.67
2021-03-20 12:02:59,179690,-8.63
2021-03-20 12:03:00,180490,-8.74
2021-03-20 12:03:01,181290,-8.84
2021-03-20 12:03:01,182090,-8.55
2021-03-20 12:03:02,182890,-8.34
2021-03-20 12:03:03,183690,-8.45
2021-03-20 12:03:04,184491,-8.4
2021-03-20 12:03:05,185291,-8.22
2021-03-20 12:03:05,186091,-8.23
2021-03-20 12:03:06,186891,-8.21
2021-03-20 12:03:07,187691,-8.27
2021-03-20 12:03:08,188491,-7.9
2021-03-20 12:03:09,189291,-7.22
2021-03-20 12:03:09,190091,-7.24
2021-03-20 12:03:10,190892,-7.63
2021-03-20 12:03:11,191692,-7.3
2021-03-20 12:03:12,192492,-7.46
2021-03-20 12:03:13,193292,-8.15
2021-03-20 12:03:13,194092,-8.44
2021-03-20 12:03:14,194892,-8.42
2021-03-20 12:03:15,195693,-7.42
2021-03-20 12:03:16,196493,-8.94
2021-03-20 12:03:17,197293,-8.76
2021-03-20 12:03:17,198093,-6.99
2021-03-20 12:03:18,198894,-7.6
2021-03-20 12:03:19,199694,-7.74
2021-03-20 12:03:20,200494,-7.75
2021-03-20 12:03:21,201295,-7.81
2021-03-20 12:03:21,202095,-7.39
2021-03-20 12:03:22,202895,-7.89
2021-03-20 12:03:23,203696,-7.49
2021-03-20 12:03:24,204496,-7.67
2021-03-20 12:03:25,205297,-7.38
2021-03-20 12:03:25,206097,-7.61
2021-03-20 12:03:26,206898,-7.54
2021-03-20 12:03:27,207698,-8.3
2021-03-20 12:03:28,208499,-8.36
2021-03-20 12:03:29,209299,-8.0
2021-03-20 12:03:29,210100,-7.85
2021-03-20 12:03:30,210900,-7.77
2021-03-20 12:03:31,211700,-7.37
2021-03-20 12:03:32,212501,-7.02
2021-03-20 12:03:33,213302,-7.85
2021-03-20 12:03:33,214102,-7.89
2021-03-20 12:03:34,214903,-7.62
2021-03-20 12:03:35,215703,-7.31
2021-03-20 12:03:36,216503,-7.9
2021-03-20 12:03:37,217304,-7.86
2021-03-20 12:03:37,218104,-7.81
2021-03-20 12:03:38,218905,-7.5
2021-03-20 12:03:39,219705,-7.49
2021-03-20 12:03:40,220506,-8.12
2021-03-20 12:03:41,221306,-7.13
2021-03-20 12:03:41,222107,-7.27
2021-03-20 12:03:42,222907,-7.31
2021-03-20 12:03:43,223707,-7.46
2021-03-20 12:03:44,224508,-7.51
2021-03-20 12:03:45,225308,-7.9
2021-03-20 12:03:45,226109,-7.95
2021-03-20 12:03:46,226909,-8.02
2021-03-20 12:03:47,227709,-8.07
2021-03-20 12:03:48,228510,-8.18
2021-03-20 12:03:49,229310,-8.07
2021-03-20 12:03:49,230111,-8.24
2021-03-20 12:03:50,230911,-7.93
2021-03-20 12:03:51,231712,-7.83
2021-03-20 12:03:52,232512,-7.69
2021-03-20 12:03:53,233313,-7.45
2021-03-20 12:03:53,234113,-7.56
2021-03-20 12:03:54,234913,-6.63
2021-03-20 12:03:55,235713,-7.44
2021-03-20 12:03:56,236514,-8.63
2021-03-20 12:03:57,237314,-9.04
2021-03-20 12:03:57,238115,-9.13
2021-03-20 12:03:58,238915,-9.11
2021-03-20 12:03:59,239715,-9.25
2021-03-20 12:04:00,240515,-9.3
2021-03-20 12:04:01,241316,-9.29
2021-03-20 12:04:01,242116,-9.42
2021-03-20 12:04:02,242916,-9.35
2021-03-20 12:04:03,243717,-8.06
2021-03-20 12:04:04,244517,-8.3
2021-03-20 12:04:05,245317,-8.69
2021-03-20 12:04:05,246117,-8.9
2021-03-20 12:04:06,246918,-8.74
2021-03-20 12:04:07,247718,-9.36
2021-03-20 12:04:08,248518,-8.71
2021-03-20 12:04:09,249319,-9.35
2021-03-20 12:04:09,250119,-9.45
2021-03-20 12:04:10,250919,-8.95
2021-03-20 12:04:11,251720,-9.15
2021-03-20 12:04:12,252520,-9.12
2021-03-20 12:04:13,253320,-9.06
2021-03-20 12:04:13,254120,-9.08
2021-03-20 12:04:14,254921,-9.04
2021-03-20 12:04:15,255721,-9.07
2021-03-20 12:04:16,256522,-9.15
2021-03-20 12:04:17,257322,-9.31
2021-03-20 12:04:17,258122,-7.71
2021-03-20 12:04:18,258923,-7.6
2021-03-20 12:04:19,259723,-7.6
2021-03-20 12:04:20,260523,-7.72
2021-03-20 12:04:21,261324,-7.61
2021-03-20 12:04:21,262124,-7.53
2021-03-20 12:04:22,262924,-7.61
2021-03-20 12:04:23,263724,-7.41
2021-03-20 12:04:24,264524,-7.79
2021-03-20 12:04:25,265324,-5.9
2021-03-20 12:04:25,266124,-6.13
2021-03-20 12:04:26,266925,-6.48
2021-03-20 12:04:27,267725,-6.61
2021-03-20 12:04:28,268525,-6.71
2021-03-20 12:04:29,269325,-6.97
2021-03-20 12:04:29,270125,-7.15
2021-03-20 12:04:30,270926,-7.21
2021-03-20 12:04:31,271726,-7.43
2021-03-20 12:04:32,272526,-7.42
2021-03-20 12:04:33,273326,-7.35
2021-03-20 12:04:33,274127,-7.54
2021-03-20 12:04:34,274927,-7.36
2021-03-20 12:04:35,275727,-7.47
2021-03-20 12:04:36,276527,-7.3
2021-03-20 12:04:37,277327,-7.08
2021-03-20 12:04:37,278127,-6.88
2021-03-20 12:04:38,278927,-6.74
2021-03-20 12:04:39,279728,-6.73
2021-03-20 12:04:40,280528,-6.74
2021-03-20 12:04:41,281328,-7.91
2021-03-20 12:04:41,282128,-7.94
2021-03-20 12:04:42,282928,-7.75
2021-03-20 12:04:43,283728,-7.81
2021-03-20 12:04:44,284528,-7.95
2021-03-20 12:04:45,285328,-7.85
2021-03-20 12:04:45,286128,-7.78
2021-03-20 12:04:46,286928,-7.61
2021-03-20 12:04:47,287728,-7.65
2021-03-20 12:04:48,288528,-7.64
2021-03-20 12:04:49,289328,-7.61
2021-03-20 12:04:49,290128,-7.12
2021-03-20 12:04:50,290928,-6.99
2021-03-20 12:04:51,291728,-7.38
2021-03-20 12:04:52,292527,-7.25
2021-03-20 12:04:53,293327,-7.27
2021-03-20 12:04:53,294127,-7.11
2021-03-20 12:04:54,294927,-6.06
2021-03-20 12:04:55,295727,-8.93
2021-03-20 12:04:56,296526,-8.63
2021-03-20 12:04:57,297326,-8.29
2021-03-20 12:04:57,298126,-8.81
2021-03-20 12:04:58,298926,-7.93
2021-03-20 12:04:59,299726,-7.25
2021-03-20 12:05:00,300525,-7.33
2021-03-20 12:05:01,301325,-7.2
2021-03-20 12:05:01,302125,-7.47
2021-03-20 12:05:02,302925,-9.02
2021-03-20 12:05:03,303725,-10.1
2021-03-20 12:05:04,304525,-10.45
2021-03-20 12:05:05,305324,-10.33
2021-03-20 12:05:05,306124,-10.52
2021-03-20 12:05:06,306924,-11.87
2021-03-20 12:05:07,307724,-12.22
2021-03-20 12:05:08,308523,-12.04
2021-03-20 12:05:09,309323,-12.2
2021-03-20 12:05:09,310122,-12.26
2021-03-20 12:05:10,310922,-12.03
2021-03-20 12:05:11,311722,-10.84
2021-03-20 12:05:12,312521,-8.31
2021-03-20 12:05:13,313321,-8.38
2021-03-20 12:05:13,314121,-9.0
2021-03-20 12:05:14,314920,-8.96
2021-03-20 12:05:15,315720,-9.06
2021-03-20 12:05:16,316520,-8.5
2021-03-20 12:05:17,317319,-8.31
2021-03-20 12:05:17,318119,-8.0
2021-03-20 12:05:18,318918,-8.1
2021-03-20 12:05:19,319717,-8.26
2021-03-20 12:05:20,320517,-8.33
2021-03-20 12:05:21,321316,-8.21
2021-03-20 12:05:21,322115,-8.18
2021-03-20 12:05:22,322915,-8.23
2021-03-20 12:05:23,323714,-8.29
2021-03-20 12:05:24,324514,-8.05
2021-03-20 12:05:25,325313,-8.11
2021-03-20 12:05:25,326112,-8.22
2021-03-20 12:05:26,326912,-8.55
2021-03-20 12:05:27,327711,-8.63
2021-03-20 12:05:28,328511,-8.76
2021-03-20 12:05:29,329310,-8.89
2021-03-20 12:05:29,330109,-9.04
2021-03-20 12:05:30,330909,-9.0
2021-03-20 12:05:31,331708,-9.07
2021-03-20 12:05:32,332507,-9.31
2021-03-20 12:05:33,333307,-9.31
2021-03-20 12:05:33,334106,-9.25
2021-03-20 12:05:34,334906,-9.25
2021-03-20 12:05:35,335706,-9.21
2021-03-20 12:05:36,336505,-9.22
2021-03-20 12:05:37,337305,-9.27
2021-03-20 12:05:37,338105,-9.18
2021-03-20 12:05:38,338905,-9.25
