time,time_ms,quality_sensor
2021-02-28 17:14:28,323618,62.0
2021-02-28 17:14:29,324641,62.0
2021-02-28 17:14:30,325661,63.0
2021-02-28 17:14:31,326681,62.0
2021-02-28 17:14:32,327701,61.0
2021-02-28 17:14:33,328720,62.0
2021-02-28 17:14:34,329744,62.0
2021-02-28 17:14:35,330763,61.0
2021-02-28 17:14:36,331783,61.0
2021-02-28 17:14:37,332803,61.0
2021-02-28 17:14:38,333823,61.0
2021-02-28 17:14:39,334846,62.0
2021-02-28 17:14:40,335865,62.0
2021-02-28 17:14:41,336885,62.0
2021-02-28 17:14:42,337905,63.0
2021-02-28 17:14:43,338925,62.0
2021-02-28 17:14:44,339948,61.0
2021-02-28 17:14:45,340968,62.0
2021-02-28 17:14:46,341987,60.0
2021-02-28 17:14:47,343007,61.0
2021-02-28 17:14:48,344030,61.0
2021-02-28 17:14:49,345050,60.0
2021-02-28 17:14:50,346070,60.0
2021-02-28 17:14:51,347089,60.0
2021-02-28 17:14:52,348109,61.0
2021-02-28 17:14:53,349132,61.0
2021-02-28 17:14:54,350152,60.0
2021-02-28 17:14:56,351171,60.0
2021-02-28 17:14:57,352191,61.0
2021-02-28 17:14:58,353210,60.0
2021-02-28 17:14:59,354234,61.0
2021-02-28 17:15:00,355254,61.0
2021-02-28 17:15:01,356274,60.0
2021-02-28 17:15:02,357293,60.0
2021-02-28 17:15:03,358313,61.0
2021-02-28 17:15:04,359336,60.0
2021-02-28 17:15:05,360356,61.0
2021-02-28 17:15:06,361376,62.0
2021-02-28 17:15:07,362396,62.0
2021-02-28 17:15:08,363419,60.0
2021-02-28 17:15:09,364439,60.0
2021-02-28 17:15:10,365459,62.0
2021-02-28 17:15:11,366479,60.0
2021-02-28 17:15:12,367498,59.0
2021-02-28 17:15:13,368522,60.0
2021-02-28 17:15:14,369542,59.0
2021-02-28 17:15:15,370561,59.0
2021-02-28 17:15:16,371581,60.0
2021-02-28 17:15:17,372601,59.0
2021-02-28 17:15:18,373625,60.0
2021-02-28 17:15:19,374644,59.0
2021-02-28 17:15:20,375664,58.0
2021-02-28 17:15:21,376684,58.0
2021-02-28 17:15:22,377704,59.0
2021-02-28 17:15:23,378727,58.0
2021-02-28 17:15:24,379747,59.0
2021-02-28 17:15:25,380767,58.0
2021-02-28 17:15:26,381786,59.0
2021-02-28 17:15:27,382810,58.0
2021-02-28 17:15:28,383830,59.0
2021-02-28 17:15:29,384849,59.0
2021-02-28 17:15:30,385869,58.0
2021-02-28 17:15:31,386889,59.0
2021-02-28 17:15:32,387912,59.0
2021-02-28 17:15:33,388938,58.0
2021-02-28 17:15:34,389957,58.0
2021-02-28 17:15:35,390976,57.0
2021-02-28 17:15:36,391996,59.0
2021-02-28 17:15:37,393018,59.0
2021-02-28 17:15:38,394038,59.0
2021-02-28 17:15:39,395057,58.0
2021-02-28 17:15:40,396076,59.0
2021-02-28 17:15:41,397096,59.0
2021-02-28 17:15:42,398119,58.0
2021-02-28 17:15:43,399138,58.0
2021-02-28 17:15:44,400158,57.0
2021-02-28 17:15:46,401177,58.0
2021-02-28 17:15:47,402200,59.0
2021-02-28 17:15:48,403219,58.0
2021-02-28 17:15:49,404238,58.0
2021-02-28 17:15:50,405258,58.0
2021-02-28 17:15:51,406278,58.0
2021-02-28 17:15:52,407300,58.0
2021-02-28 17:15:53,408320,57.0
2021-02-28 17:15:54,409339,58.0
2021-02-28 17:15:55,410358,57.0
2021-02-28 17:15:56,411378,58.0
2021-02-28 17:15:57,412401,59.0
2021-02-28 17:15:58,413420,58.0
2021-02-28 17:15:59,414440,58.0
2021-02-28 17:16:00,415459,57.0
2021-02-28 17:16:01,416478,57.0
2021-02-28 17:16:02,417501,58.0
2021-02-28 17:16:03,418521,57.0
2021-02-28 17:16:04,419540,57.0
2021-02-28 17:16:05,420559,58.0
2021-02-28 17:16:06,421582,57.0
2021-02-28 17:16:07,422602,57.0
2021-02-28 17:16:08,423621,56.0
2021-02-28 17:16:09,424640,57.0
2021-02-28 17:16:10,425660,56.0
2021-02-28 17:16:11,426682,58.0
2021-02-28 17:16:12,427702,57.0
2021-02-28 17:16:13,428721,57.0
