time,time_ms,mq9_sensor
1900-01-01 00:02:57,177039,1.75
1900-01-01 00:02:57,177622,1.6
1900-01-01 00:02:58,178200,1.7
1900-01-01 00:02:58,178780,1.85
1900-01-01 00:02:59,179358,1.81
1900-01-01 00:02:59,179936,1.74
1900-01-01 00:03:00,180514,1.75
1900-01-01 00:03:01,181096,1.63
1900-01-01 00:03:01,181675,1.67
1900-01-01 00:03:02,182253,1.55
1900-01-01 00:03:02,182831,1.71
1900-01-01 00:03:03,183409,1.69
1900-01-01 00:03:04,183987,1.77
1900-01-01 00:03:04,184569,1.82
1900-01-01 00:03:05,185148,1.65
1900-01-01 00:03:05,185726,1.59
1900-01-01 00:03:06,186305,1.69
1900-01-01 00:03:06,186883,1.61
1900-01-01 00:03:07,187461,1.76
1900-01-01 00:03:08,188044,1.7
1900-01-01 00:03:08,188622,1.71
1900-01-01 00:03:09,189201,1.78
1900-01-01 00:03:09,189781,1.66
1900-01-01 00:03:10,190359,1.72
1900-01-01 00:03:10,190938,1.8
1900-01-01 00:03:11,191529,1.84
1900-01-01 00:03:12,192111,1.89
1900-01-01 00:03:12,192691,1.71
1900-01-01 00:03:13,193272,1.82
1900-01-01 00:03:13,193852,1.79
1900-01-01 00:03:14,194432,1.64
1900-01-01 00:03:15,195016,1.72
1900-01-01 00:03:15,195597,1.69
1900-01-01 00:03:16,196178,1.71
1900-01-01 00:03:16,196758,1.7
1900-01-01 00:03:17,197340,1.69
1900-01-01 00:03:17,197921,1.76
1900-01-01 00:03:18,198505,1.64
1900-01-01 00:03:19,199086,1.78
1900-01-01 00:03:19,199666,1.69
1900-01-01 00:03:20,200247,1.83
1900-01-01 00:03:20,200829,1.69
1900-01-01 00:03:21,201409,1.65
1900-01-01 00:03:22,201994,1.79
1900-01-01 00:03:22,202575,1.68
1900-01-01 00:03:23,203156,1.64
1900-01-01 00:03:23,203737,1.67
1900-01-01 00:03:24,204318,1.73
1900-01-01 00:03:24,204899,1.75
1900-01-01 00:03:25,205484,1.72
1900-01-01 00:03:26,206065,1.78
1900-01-01 00:03:26,206646,1.77
1900-01-01 00:03:27,207228,1.64
1900-01-01 00:03:27,207809,1.72
1900-01-01 00:03:28,208390,1.73
1900-01-01 00:03:29,208975,1.7
1900-01-01 00:03:29,209556,1.78
1900-01-01 00:03:30,210137,1.69
1900-01-01 00:03:30,210718,1.77
1900-01-01 00:03:31,211299,1.7
1900-01-01 00:03:31,211880,1.72
1900-01-01 00:03:32,212463,1.63
1900-01-01 00:03:33,213044,1.62
1900-01-01 00:03:33,213624,1.73
1900-01-01 00:03:34,214205,1.77
1900-01-01 00:03:34,214785,1.72
1900-01-01 00:03:35,215365,1.71
1900-01-01 00:03:35,215949,1.7
1900-01-01 00:03:36,216530,1.57
1900-01-01 00:03:37,217111,1.74
1900-01-01 00:03:37,217692,1.69
1900-01-01 00:03:38,218273,1.7
1900-01-01 00:03:38,218855,1.7
1900-01-01 00:03:39,219439,1.72
1900-01-01 00:03:40,220020,1.69
1900-01-01 00:03:40,220601,1.75
1900-01-01 00:03:41,221182,1.77
1900-01-01 00:03:41,221763,1.68
1900-01-01 00:03:42,222344,1.67
1900-01-01 00:03:42,222939,1.7
1900-01-01 00:03:43,223519,1.83
1900-01-01 00:03:44,224099,1.7
1900-01-01 00:03:44,224679,1.71
1900-01-01 00:03:45,225260,1.65
1900-01-01 00:03:45,225840,1.67
1900-01-01 00:03:46,226424,1.72
1900-01-01 00:03:47,227005,1.52
1900-01-01 00:03:47,227585,1.56
1900-01-01 00:03:48,228165,1.7
1900-01-01 00:03:48,228746,1.69
1900-01-01 00:03:49,229328,1.7
1900-01-01 00:03:49,229912,1.67
1900-01-01 00:03:50,230492,1.76
1900-01-01 00:03:51,231072,1.65
1900-01-01 00:03:51,231653,1.55
1900-01-01 00:03:52,232234,1.71
1900-01-01 00:03:52,232815,1.63
1900-01-01 00:03:53,233400,1.64
1900-01-01 00:03:54,233981,1.68
1900-01-01 00:03:54,234561,1.68
1900-01-01 00:03:55,235142,1.71
1900-01-01 00:03:55,235723,1.63
1900-01-01 00:03:56,236304,1.62
1900-01-01 00:03:56,236889,1.63
1900-01-01 00:03:57,237469,1.78
1900-01-01 00:03:58,238051,1.65
1900-01-01 00:03:58,238631,1.61
1900-01-01 00:03:59,239212,1.61
1900-01-01 00:03:59,239794,1.75
1900-01-01 00:04:00,240379,1.72
1900-01-01 00:04:00,240960,1.64
1900-01-01 00:04:01,241541,1.64
1900-01-01 00:04:02,242122,1.71
1900-01-01 00:04:02,242703,1.7
1900-01-01 00:04:03,243284,1.81
1900-01-01 00:04:03,243868,1.82
1900-01-01 00:04:04,244448,1.64
1900-01-01 00:04:05,245028,1.63
1900-01-01 00:04:05,245609,1.8
1900-01-01 00:04:06,246189,1.68
1900-01-01 00:04:06,246769,1.57
1900-01-01 00:04:07,247353,1.73
1900-01-01 00:04:07,247934,1.6
1900-01-01 00:04:08,248514,1.77
1900-01-01 00:04:09,249095,1.75
1900-01-01 00:04:09,249676,1.73
1900-01-01 00:04:10,250260,1.59
1900-01-01 00:04:10,250841,1.72
1900-01-01 00:04:11,251422,1.81
1900-01-01 00:04:12,252003,1.87
1900-01-01 00:04:12,252584,1.76
1900-01-01 00:04:13,253165,1.8
1900-01-01 00:04:13,253750,1.63
1900-01-01 00:04:14,254331,1.66
1900-01-01 00:04:14,254922,1.58
1900-01-01 00:04:15,255501,1.63
1900-01-01 00:04:16,256082,1.62
1900-01-01 00:04:16,256663,1.66
1900-01-01 00:04:17,257247,1.8
1900-01-01 00:04:17,257827,1.69
1900-01-01 00:04:18,258408,1.65
1900-01-01 00:04:19,258988,1.75
1900-01-01 00:04:19,259569,1.68
1900-01-01 00:04:20,260149,1.75
1900-01-01 00:04:20,260733,1.71
1900-01-01 00:04:21,261314,1.68
1900-01-01 00:04:21,261895,1.71
1900-01-01 00:04:22,262476,1.59
1900-01-01 00:04:23,263057,1.72
1900-01-01 00:04:23,263638,1.72
1900-01-01 00:04:24,264222,1.79
1900-01-01 00:04:24,264803,1.61
1900-01-01 00:04:25,265384,1.79
1900-01-01 00:04:26,265965,1.75
1900-01-01 00:04:26,266546,1.76
1900-01-01 00:04:27,267127,1.74
1900-01-01 00:04:27,267712,1.82
1900-01-01 00:04:28,268293,1.64
1900-01-01 00:04:28,268874,1.79
1900-01-01 00:04:29,269455,1.75
1900-01-01 00:04:30,270036,1.6
1900-01-01 00:04:30,270617,1.71
1900-01-01 00:04:31,271202,1.64
1900-01-01 00:04:31,271783,1.64
1900-01-01 00:04:32,272364,1.64
1900-01-01 00:04:32,272946,1.65
1900-01-01 00:04:33,273527,1.7
1900-01-01 00:04:34,274108,1.66
1900-01-01 00:04:34,274692,1.66
1900-01-01 00:04:35,275272,1.64
1900-01-01 00:04:35,275853,1.79
1900-01-01 00:04:36,276434,1.77
1900-01-01 00:04:37,277014,1.71
1900-01-01 00:04:37,277594,1.69
1900-01-01 00:04:38,278178,1.72
1900-01-01 00:04:38,278758,1.68
1900-01-01 00:04:39,279338,1.68
1900-01-01 00:04:39,279918,1.72
1900-01-01 00:04:40,280500,1.71
1900-01-01 00:04:41,281081,1.62
1900-01-01 00:04:41,281665,1.64
1900-01-01 00:04:42,282246,1.82
1900-01-01 00:04:42,282827,1.8
1900-01-01 00:04:43,283407,1.79
1900-01-01 00:04:44,283988,1.63
1900-01-01 00:04:44,284570,1.75
1900-01-01 00:04:45,285154,1.72
1900-01-01 00:04:45,285735,1.8
1900-01-01 00:04:46,286316,1.71
1900-01-01 00:04:46,286919,1.74
1900-01-01 00:04:47,287500,1.76
1900-01-01 00:04:48,288080,1.75
1900-01-01 00:04:48,288664,1.7
1900-01-01 00:04:49,289245,1.74
1900-01-01 00:04:49,289825,1.77
1900-01-01 00:04:50,290405,1.72
1900-01-01 00:04:51,290985,1.71
1900-01-01 00:04:51,291565,1.87
1900-01-01 00:04:52,292149,1.78
1900-01-01 00:04:52,292730,1.55
1900-01-01 00:04:53,293311,1.71
